ID,Table,Concept
2,0,Joe Biden
8,0,Joe Biden
12,0,Joe Biden
17,0,Joe Biden
49,0,Joe Biden
54,0,Joe Biden
67,0,Joe Biden
70,0,Joe Biden
74,0,Joe Biden
82,0,Joe Biden
84,0,Joe Biden
85,0,Joe Biden
88,0,Joe Biden
99,0,Joe Biden
104,0,Joe Biden
107,0,Joe Biden
153,0,Joe Biden
159,0,Joe Biden
161,0,Joe Biden
174,0,Joe Biden
192,0,Joe Biden
195,0,Joe Biden
216,0,Joe Biden
219,0,Joe Biden
243,0,Joe Biden
245,0,Joe Biden
247,0,Joe Biden
250,0,Joe Biden
253,0,Joe Biden
271,0,Joe Biden
272,0,Joe Biden
285,0,Joe Biden
301,0,Joe Biden
317,0,Joe Biden
318,0,Joe Biden
338,0,Joe Biden
345,0,Joe Biden
366,0,Joe Biden
375,0,Joe Biden
381,0,Joe Biden
399,0,Joe Biden
436,0,Joe Biden
439,0,Joe Biden
444,0,Joe Biden
463,0,Joe Biden
484,0,Joe Biden
492,0,Joe Biden
552,0,Joe Biden
573,0,Joe Biden
581,0,Joe Biden
607,0,Joe Biden
609,0,Joe Biden
611,0,Joe Biden
615,0,Joe Biden
635,0,Joe Biden
639,0,Joe Biden
679,0,Joe Biden
681,0,Joe Biden
713,0,Joe Biden
721,0,Joe Biden
726,0,Joe Biden
737,0,Joe Biden
739,0,Joe Biden
741,0,Joe Biden
768,0,Joe Biden
773,0,Joe Biden
777,0,Joe Biden
781,0,Joe Biden
784,0,Joe Biden
816,0,Joe Biden
817,0,Joe Biden
827,0,Joe Biden
839,0,Joe Biden
845,0,Joe Biden
848,0,Joe Biden
856,0,Joe Biden
861,0,Joe Biden
883,0,Joe Biden
889,0,Joe Biden
897,0,Joe Biden
15,0,Elizabeth Warren
32,0,Elizabeth Warren
35,0,Elizabeth Warren
45,0,Elizabeth Warren
73,0,Elizabeth Warren
92,0,Elizabeth Warren
105,0,Elizabeth Warren
112,0,Elizabeth Warren
115,0,Elizabeth Warren
127,0,Elizabeth Warren
137,0,Elizabeth Warren
155,0,Elizabeth Warren
172,0,Elizabeth Warren
181,0,Elizabeth Warren
186,0,Elizabeth Warren
196,0,Elizabeth Warren
234,0,Elizabeth Warren
269,0,Elizabeth Warren
287,0,Elizabeth Warren
290,0,Elizabeth Warren
296,0,Elizabeth Warren
300,0,Elizabeth Warren
303,0,Elizabeth Warren
307,0,Elizabeth Warren
364,0,Elizabeth Warren
367,0,Elizabeth Warren
368,0,Elizabeth Warren
386,0,Elizabeth Warren
388,0,Elizabeth Warren
391,0,Elizabeth Warren
403,0,Elizabeth Warren
409,0,Elizabeth Warren
412,0,Elizabeth Warren
415,0,Elizabeth Warren
418,0,Elizabeth Warren
427,0,Elizabeth Warren
437,0,Elizabeth Warren
450,0,Elizabeth Warren
473,0,Elizabeth Warren
478,0,Elizabeth Warren
482,0,Elizabeth Warren
516,0,Elizabeth Warren
517,0,Elizabeth Warren
521,0,Elizabeth Warren
523,0,Elizabeth Warren
527,0,Elizabeth Warren
532,0,Elizabeth Warren
549,0,Elizabeth Warren
589,0,Elizabeth Warren
590,0,Elizabeth Warren
600,0,Elizabeth Warren
610,0,Elizabeth Warren
618,0,Elizabeth Warren
625,0,Elizabeth Warren
631,0,Elizabeth Warren
645,0,Elizabeth Warren
655,0,Elizabeth Warren
659,0,Elizabeth Warren
660,0,Elizabeth Warren
665,0,Elizabeth Warren
666,0,Elizabeth Warren
692,0,Elizabeth Warren
696,0,Elizabeth Warren
697,0,Elizabeth Warren
718,0,Elizabeth Warren
727,0,Elizabeth Warren
730,0,Elizabeth Warren
749,0,Elizabeth Warren
750,0,Elizabeth Warren
757,0,Elizabeth Warren
796,0,Elizabeth Warren
822,0,Elizabeth Warren
829,0,Elizabeth Warren
832,0,Elizabeth Warren
834,0,Elizabeth Warren
846,0,Elizabeth Warren
864,0,Elizabeth Warren
877,0,Elizabeth Warren
885,0,Elizabeth Warren
893,0,Elizabeth Warren
5,0,Ronald Reagan
22,0,Ronald Reagan
26,0,Ronald Reagan
42,0,Ronald Reagan
44,0,Ronald Reagan
59,0,Ronald Reagan
63,0,Ronald Reagan
65,0,Ronald Reagan
75,0,Ronald Reagan
93,0,Ronald Reagan
95,0,Ronald Reagan
116,0,Ronald Reagan
120,0,Ronald Reagan
121,0,Ronald Reagan
140,0,Ronald Reagan
158,0,Ronald Reagan
166,0,Ronald Reagan
187,0,Ronald Reagan
208,0,Ronald Reagan
225,0,Ronald Reagan
313,0,Ronald Reagan
315,0,Ronald Reagan
323,0,Ronald Reagan
325,0,Ronald Reagan
332,0,Ronald Reagan
334,0,Ronald Reagan
339,0,Ronald Reagan
354,0,Ronald Reagan
356,0,Ronald Reagan
357,0,Ronald Reagan
361,0,Ronald Reagan
378,0,Ronald Reagan
383,0,Ronald Reagan
385,0,Ronald Reagan
387,0,Ronald Reagan
393,0,Ronald Reagan
394,0,Ronald Reagan
407,0,Ronald Reagan
416,0,Ronald Reagan
417,0,Ronald Reagan
424,0,Ronald Reagan
425,0,Ronald Reagan
431,0,Ronald Reagan
432,0,Ronald Reagan
434,0,Ronald Reagan
455,0,Ronald Reagan
464,0,Ronald Reagan
465,0,Ronald Reagan
466,0,Ronald Reagan
472,0,Ronald Reagan
481,0,Ronald Reagan
515,0,Ronald Reagan
528,0,Ronald Reagan
529,0,Ronald Reagan
531,0,Ronald Reagan
537,0,Ronald Reagan
538,0,Ronald Reagan
543,0,Ronald Reagan
546,0,Ronald Reagan
565,0,Ronald Reagan
566,0,Ronald Reagan
571,0,Ronald Reagan
586,0,Ronald Reagan
606,0,Ronald Reagan
614,0,Ronald Reagan
616,0,Ronald Reagan
634,0,Ronald Reagan
646,0,Ronald Reagan
668,0,Ronald Reagan
683,0,Ronald Reagan
684,0,Ronald Reagan
715,0,Ronald Reagan
720,0,Ronald Reagan
723,0,Ronald Reagan
746,0,Ronald Reagan
759,0,Ronald Reagan
762,0,Ronald Reagan
764,0,Ronald Reagan
770,0,Ronald Reagan
783,0,Ronald Reagan
790,0,Ronald Reagan
797,0,Ronald Reagan
803,0,Ronald Reagan
809,0,Ronald Reagan
820,0,Ronald Reagan
825,0,Ronald Reagan
862,0,Ronald Reagan
866,0,Ronald Reagan
875,0,Ronald Reagan
884,0,Ronald Reagan
887,0,Ronald Reagan
13,0,Bernie Sanders
27,0,Bernie Sanders
33,0,Bernie Sanders
50,0,Bernie Sanders
86,0,Bernie Sanders
90,0,Bernie Sanders
106,0,Bernie Sanders
109,0,Bernie Sanders
111,0,Bernie Sanders
113,0,Bernie Sanders
132,0,Bernie Sanders
150,0,Bernie Sanders
157,0,Bernie Sanders
170,0,Bernie Sanders
184,0,Bernie Sanders
204,0,Bernie Sanders
207,0,Bernie Sanders
209,0,Bernie Sanders
226,0,Bernie Sanders
239,0,Bernie Sanders
240,0,Bernie Sanders
255,0,Bernie Sanders
257,0,Bernie Sanders
274,0,Bernie Sanders
277,0,Bernie Sanders
291,0,Bernie Sanders
293,0,Bernie Sanders
298,0,Bernie Sanders
304,0,Bernie Sanders
310,0,Bernie Sanders
316,0,Bernie Sanders
335,0,Bernie Sanders
352,0,Bernie Sanders
373,0,Bernie Sanders
379,0,Bernie Sanders
382,0,Bernie Sanders
408,0,Bernie Sanders
433,0,Bernie Sanders
446,0,Bernie Sanders
449,0,Bernie Sanders
451,0,Bernie Sanders
457,0,Bernie Sanders
468,0,Bernie Sanders
485,0,Bernie Sanders
487,0,Bernie Sanders
499,0,Bernie Sanders
506,0,Bernie Sanders
510,0,Bernie Sanders
514,0,Bernie Sanders
518,0,Bernie Sanders
533,0,Bernie Sanders
551,0,Bernie Sanders
562,0,Bernie Sanders
567,0,Bernie Sanders
569,0,Bernie Sanders
592,0,Bernie Sanders
593,0,Bernie Sanders
603,0,Bernie Sanders
